,tweet_id,favorites,retweet_count
180,856288084350160898,527,17
181,856282028240666624,28193,6522
182,855862651834028034,352,28
183,855860136149123072,5125,1063
184,855857698524602368,12061,2184
185,855851453814013952,46239,18303
186,855818117272018944,27091,5614
187,855459453768019968,30529,8506
188,855245323840757760,0,6200
189,855138241867124737,0,47
190,854732716440526848,23331,6346
191,854482394044301312,29952,7137
192,854365224396361728,19324,4877
193,854120357044912130,32709,7801
194,854010172552949760,16588,3288
195,853760880890318849,29289,6050
196,853639147608842240,35736,10581
197,853299958564483072,15930,3731
198,852936405516943360,0,2104
199,852912242202992640,9302,1920
200,852672615818899456,15335,2258
201,852553447878664193,16829,3685
202,852311364735569921,34062,10360
203,852226086759018497,20582,7128
204,852189679701164033,11802,1665
205,851953902622658560,0,10119
206,851861385021730816,0,23
207,851591660324737024,16698,3645
208,851464819735769094,25035,7432
209,851224888060895234,21342,6010
210,850753642995093505,32034,9771
211,850380195714523136,13490,2754
212,850333567704068097,3544,352
213,850145622816686080,16868,4033
214,850019790995546112,21150,5164
215,849776966551130114,31512,8019
216,849668094696017920,0,5237
217,849412302885593088,16433,3318
218,849336543269576704,11828,1993
219,849051919805034497,44003,8998
220,848690551926992896,26117,4566
221,848324959059550208,25675,4861
222,848213670039564288,8469,788
223,848212111729840128,16932,3252
224,847978865427394560,0,3448
225,847971574464610304,0,454
226,847962785489326080,24404,5402
227,847842811428974592,5691,1423
228,847617282490613760,7277,450
229,847606175596138505,19500,3597
230,847251039262605312,21255,4557
231,847157206088847362,20742,6211
232,847116187444137987,22269,3394
233,846874817362120707,20890,4170
234,846514051647705089,46457,12320
235,846505985330044928,14687,3284
236,846153765933735936,32997,9634
237,846139713627017216,32140,10489
238,846042936437604353,16645,3076
239,845812042753855489,30522,9304
240,845677943972139009,26158,5087
241,845397057150107648,7954,1926
242,845306882940190720,24302,5738
243,845098359547420673,0,8158
244,844979544864018432,14217,2752
245,844973813909606400,15763,3421
246,844704788403113984,40407,11019
247,844580511645339650,17194,3350
248,844223788422217728,14226,2342
249,843981021012017153,15789,3118
250,843856843873095681,22340,4936
251,843604394117681152,17637,2943
252,843235543001513987,22457,6456
253,842846295480000512,15904,3840
254,842765311967449089,7051,1360
255,842535590457499648,18917,3742
256,842163532590374912,25607,6200
257,842115215311396866,14649,3239
258,841833993020538882,0,16406
259,841680585030541313,26821,8292
260,841439858740625411,13217,3926
261,841320156043304961,20667,5811
262,841314665196081154,16572,5022
263,841077006473256960,23961,5679
264,840761248237133825,0,1877
265,840728873075638272,0,17345
266,840698636975636481,187,2
267,840696689258311684,12879,1048
268,840632337062862849,9396,1877
269,840370681858686976,17253,4881
270,840268004936019968,20208,6146
271,839990271299457024,14082,2464
272,839549326359670784,28876,8346
273,839290600511926273,0,154
274,839239871831150596,28564,7020
275,838952994649550848,20580,4264
276,838921590096166913,11724,2231
277,838916489579200512,0,36
278,838831947270979586,0,11874
279,838561493054533637,11460,1423
280,838476387338051585,23732,5173
281,838201503651401729,0,10842
282,838150277551247360,1767,354
283,838085839343206401,149,0
284,838083903487373313,18530,3390
285,837820167694528512,35928,8452
286,837482249356513284,4030,476
287,837471256429613056,13449,2466
288,837366284874571778,22214,5696
289,837110210464448512,16843,2575
290,836989968035819520,13385,2472
291,836753516572119041,20220,4971
292,836677758902222849,13261,2392
293,836648853927522308,0,591
294,836397794269200385,0,29757
